subject,income_category,mother_education,sex,race,ethn,n
15,4,3,F,WH,N,12
16,5,4,F,BL,N,12
17,3,3,M,WH,N,12
18,5,4,M,WH,N,12
19,5,3,F,WH,N,12
20,5,4,F,2+,N,12
21,1,2,M,BL,N,12
22,4,3,F,WH,N,12
23,2,4,F,WH,N,12
24,5,4,M,BL,N,12
25,4,1,F,2+,N,12
26,1,2,M,WH,N,11
27,3,3,M,WH,N,12
28,2,2,F,BL,N,12
29,5,3,F,WH,N,12
30,5,4,F,WH,N,12
31,5,4,M,WH,N,12
32,4,4,M,WH,N,10
33,2,3,M,WH,N,12
34,2,3,M,WH,H,12
35,1,4,M,WH,N,12
36,1,1,F,WH,H,12
37,2,4,M,WH,N,11
38,4,4,F,BL,N,11
39,0,1,F,WH,H,12
40,4,1,M,WH,N,12
41,1,2,M,WH,H,12
42,2,4,M,WH,N,12
43,3,3,F,WH,N,12
44,1,2,F,BL,N,11
45,4,4,M,WH,N,12
46,1,0,F,WH,H,12
47,4,3,F,WH,N,12
48,5,4,M,WH,N,12
49,0,0,F,BL,N,12
50,2,4,M,WH,N,12
51,5,3,M,WH,N,11
52,2,2,M,BL,N,12
53,1,1,F,WH,N,11
54,0,2,F,BL,N,12
55,3,4,F,WH,N,11
56,5,2,M,WH,N,12
57,1,2,M,2+,N,12
58,1,4,M,BL,N,9
59,4,4,M,WH,H,12
60,2,3,M,BL,N,11
61,5,4,F,WH,N,7
62,4,3,M,WH,N,12
1,4,3,M,WH,N,12
2,0,3,M,WH,N,12
3,3,3,F,2+,N,12
4,3,3,F,WH,N,12
5,2,4,F,2+,N,11
6,4,2,M,WH,N,12
7,3,1,F,2+,N,12
8,3,3,M,WH,N,12
9,4,4,F,WH,N,12
10,5,3,M,WH,H,6
11,2,1,F,BL,H,10
12,5,4,F,WH,N,12
13,1,1,F,BL,N,7
14,3,3,M,WH,H,12
