a	article
about	preps
above	preps
absolute	certain
absolutely	certain
accura.*	certain
across	preps
add	incl
addit.*	incl
after	preps
against	preps
ahead	preps
ain't	negate
aint	negate
all	quant
all	certain
allot	quant
allot	tentat
almost	tentat
along	preps
along	incl
alot	article
alot	quant
alot	tentat
also	conj
although	conj
altogether	certain
always	certain
ambigu.*	tentat
among.*	preps
amount.*	quant
an	article
and	conj
and	incl
another	quant
any	quant
any	tentat
anybod.*	ipron
anybod.*	tentat
anyhow	tentat
anymore	quant
anyone.*	ipron
anyone.*	tentat
anything	ipron
anything	tentat
anytime	tentat
anywhere	tentat
apparent	certain
apparently	tentat
appear	tentat
appeared	tentat
appearing	tentat
appears	tentat
approximat.*	tentat
arbitrar.*	tentat
aren't	negate
arent	negate
around	preps
around	incl
as	preps
as	conj
assum.*	tentat
assur.*	certain
at	preps
atho	conj
atop	preps
away	preps
barely	tentat
because	conj
before	preps
behind	preps
below	preps
beneath	preps
beside	preps
besides	preps
besides	quant
besides	discrep
best	quant
bet	tentat
bets	tentat
betting	tentat
between	preps
beyond	preps
bit	quant
bits	quant
blatant.*	certain
blur.*	tentat
borderline.*	tentat
both	quant
both	incl
bunch	quant
but	conj
but	excl
by	preps
came	incl
can't	negate
cannot	negate
cant	negate
certain.*	certain
cetera	quant
chance	tentat
clear	certain
clearly	certain
close	incl
come	incl
commit	certain
commitment.*	certain
commits	certain
committ.*	certain
complete	certain
completed	certain
completely	certain
completes	certain
confidence	certain
confident	certain
confidently	certain
confus.*	tentat
contingen.*	tentat
correct.*	certain
could	discrep
could've	discrep
couldn't	negate
couldn't	discrep
couldnt	negate
couldnt	discrep
couldve	discrep
couple	quant
cuz	conj
defined	certain
definite	certain
definitely	certain
definitive.*	certain
depend	tentat
depended	tentat
depending	tentat
depends	tentat
desir.*	discrep
despite	preps
didn't	negate
didnt	negate
difference.*	quant
directly	certain
disorient.*	tentat
distinct.*	certain
doesn't	negate
doesnt	negate
don't	negate
dont	negate
doubl.*	quant
doubt.*	tentat
down	preps
dubious.*	tentat
dunno	tentat
during	preps
each	quant
each	incl
either	quant
either	excl
else	quant
enough	quant
entire.*	quant
entire.*	certain
equal.*	quant
essential	certain
etc	quant
ever	certain
every	quant
every	certain
everybod.*	ipron
everybod.*	certain
everyone.*	ipron
everything.*	ipron
everything.*	certain
evident.*	certain
exact.*	certain
example.*	quant
except	preps
except	excl
exclu.*	excl
expect.*	discrep
explicit.*	certain
extent	quant
extra	quant
extremely	quant
extremely	certain
fact	certain
facts	certain
factual.*	certain
fairly	quant
fairly	tentat
few.*	quant
for	preps
forever	certain
form	quant
frankly	certain
from	preps
full.*	quant
fundamental	certain
fundamentalis.*	certain
fundamentally	certain
fundamentals	certain
fuzz.*	tentat
generally	tentat
greater	quant
greatest	quant
guarant.*	certain
guess	tentat
guessed	tentat
guesses	tentat
guessing	tentat
hadn't	negate
hadnt	negate
halfass.*	tentat
hardly	tentat
hasn't	negate
hasnt	negate
haven't	negate
havent	negate
hazie.*	tentat
hazy	tentat
hesita.*	tentat
highly	quant
hope	discrep
hope	tentat
hoped	discrep
hoped	tentat
hopeful	discrep
hopeful	tentat
hopefully	discrep
hopefully	tentat
hopefulness	discrep
hopefulness	tentat
hopes	discrep
hopes	tentat
hoping	discrep
hoping	tentat
how	conj
however	conj
hypothes.*	tentat
hypothetic.*	tentat
i	i
i'd	i
i'll	i
i'm	i
i'm	i
i've	i
i've	i
id	i
ideal.*	discrep
if	conj
if	discrep
if	tentat
if	excl
im	i
implicit.*	certain
impossib.*	discrep
in	preps
inadequa.*	discrep
inclu.*	incl
incomplet.*	tentat
increas.*	quant
indecis.*	tentat
indeed	certain
indefinit.*	tentat
indetermin.*	tentat
indirect.*	tentat
inevitab.*	certain
infallib.*	certain
inside	preps
inside	incl
insides	preps
into	preps
into	incl
invariab.*	certain
irrefu.*	certain
isn't	negate
isnt	negate
it	ipron
it'd	ipron
it'll	ipron
it's	ipron
itd	ipron
